time,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
145,1,1,0,-3,-10,8,9,0
146,1,1,0,-3,-10,6,8,-1
147,1,1,0,-3,-9,3,7,-4
148,0,0,0,-3,-9,0,6,-7
149,0,0,0,-3,-8,-2,5,-9
150,0,1,0,0,7,2,-9,-19
151,0,1,0,0,7,1,-9,-18
152,0,1,0,0,6,0,-8,-16
153,0,1,0,0,5,-2,-7,-14
154,0,1,0,0,4,-4,-6,-13
155,0,0,1,0,-2,-14,-1,-2
156,0,0,1,0,-2,-12,-1,-2
157,0,0,0,0,-2,-9,-1,-1
158,0,0,0,0,-2,-5,0,-1
159,0,0,0,0,-2,-3,0,0
160,-1,-2,-1,-1,-17,12,3,7
161,-2,-3,-1,-2,-19,13,4,8
162,-2,-3,-1,-2,-21,15,4,9
163,-2,-3,-1,-2,-23,16,5,10
164,-2,-3,-1,-2,-24,17,5,11
165,0,-1,0,1,17,-13,-1,4
166,0,-1,0,1,16,-12,-1,4
167,0,-1,0,1,14,-10,-1,3
168,0,-1,0,1,11,-7,-1,2
169,0,-1,0,1,10,-5,-1,2
170,-1,0,-1,1,17,-10,-5,-2
171,-1,0,-1,1,20,-12,-6,-2
172,-1,0,-1,1,23,-16,-7,-2
173,-1,0,-1,1,26,-19,-8,-2
174,-1,0,-1,1,28,-21,-8,-2
175,1,0,-1,0,-4,-2,0,5
176,1,0,-1,0,-4,-1,0,5
177,0,0,-1,0,-5,-1,0,5
178,0,0,-1,0,-5,-2,-1,5
179,0,0,-1,0,-6,-2,-1,5
180,-1,-1,-1,0,-10,-5,-3,-1
181,-1,-1,-1,0,-9,-3,-3,-2
182,0,0,-1,0,-8,0,-3,-4
183,0,0,-1,0,-7,2,-3,-6
184,0,0,-1,0,-6,4,-3,-8
185,-2,-1,-2,-3,-35,2,-11,-9
186,-2,-1,-2,-4,-39,2,-12,-9
187,-3,-1,-2,-4,-45,1,-13,-9
188,-3,-1,-2,-5,-49,0,-14,-9
189,-3,-1,-2,-5,-51,0,-15,-9
190,0,0,-1,-1,5,0,8,5
191,0,0,-1,-1,5,1,8,4
192,0,0,-1,0,5,3,8,3
193,0,0,-1,0,5,5,7,1
194,0,0,-1,0,4,6,7,0
195,0,0,-1,0,5,5,5,7
196,0,0,-1,0,6,3,5,10
197,0,-1,0,0,8,0,4,15
198,0,-2,0,0,9,-1,4,20
199,0,-2,0,0,10,-2,4,22
200,0,-1,0,0,10,1,-9,-3
201,0,-1,0,0,10,1,-10,-7
202,0,0,0,0,10,2,-11,-10
203,0,0,0,0,10,2,-11,-13
204,0,0,0,0,10,2,-10,-14
205,0,-2,-1,0,9,-3,1,-4
206,0,-2,-1,0,8,-5,1,-4
207,0,-2,-1,0,7,-7,1,-4
208,-1,-2,-1,0,5,-9,1,-4
209,-1,-2,-1,0,4,-10,1,-4
210,-1,-1,-1,0,0,-10,-1,-3
211,0,0,-1,0,-1,-8,-2,-3
212,0,0,-1,-1,-1,-5,-3,-3
213,0,0,-1,-1,-1,-3,-3,-2
214,0,0,-1,-1,-1,-1,-3,-2
215,-2,-2,-1,-3,-30,-16,0,-1
216,-2,-2,-1,-3,-31,-17,0,-1
217,-2,-2,-1,-3,-31,-18,-2,-1
218,-1,-2,-1,-3,-28,-17,-3,-2
219,-1,-2,-1,-3,-25,-16,-4,-2
220,0,0,0,0,15,5,-8,-7
221,0,0,0,0,15,7,-6,-7
222,0,0,0,0,14,11,-3,-7
223,-1,0,0,0,13,15,0,-8
224,-1,0,0,0,13,18,2,-8
225,-2,-2,0,0,3,8,-4,-7
226,-1,-2,0,0,3,8,-2,-5
227,-1,-1,0,0,4,8,0,-3
228,0,-1,-1,0,6,7,2,0
229,0,-1,-1,0,7,7,4,1
230,0,0,-1,-1,-1,5,-1,-2
231,0,0,-1,-1,-3,4,-3,-4
232,0,1,-1,-1,-5,1,-6,-6
233,0,1,-1,-1,-7,0,-8,-8
234,0,1,-1,-1,-8,-2,-9,-9
235,0,0,-1,0,6,3,2,3
236,0,0,-1,0,7,3,3,2
237,0,0,-1,0,8,3,3,0
238,0,0,-1,0,9,3,4,-1
239,0,0,-1,0,10,4,5,-3
240,0,-1,0,0,0,7,5,-4
241,0,-2,0,0,0,6,4,-2
242,-1,-2,0,0,0,6,3,0
243,-1,-3,0,0,0,5,2,3
244,-1,-3,0,0,0,5,1,5
245,-2,-1,0,0,11,10,0,2
246,-2,-1,0,0,11,10,0,2
247,-2,-1,0,0,10,10,0,1
248,-2,-1,0,0,8,9,-2,2
249,-2,-1,0,0,6,8,-3,2
250,-1,0,0,0,1,-5,0,-4
251,-1,0,-1,0,0,-5,-1,-4
252,-1,-1,-1,-1,0,-5,-2,-5
253,-1,-1,-2,-1,-1,-5,-4,-5
254,-1,-1,-2,-1,-2,-5,-4,-5
255,-1,-1,-2,-1,-2,-4,-4,-2
256,-1,-1,-2,0,-1,-5,-3,-2
257,-1,-1,-2,0,-1,-5,-3,0
258,-1,-1,-1,0,0,-7,-3,0
259,-1,-1,-1,0,0,-8,-3,0
260,0,-1,-2,-2,-11,0,-10,-3
261,0,-1,-2,-2,-15,0,-8,0
262,0,-1,-2,-2,-21,0,-4,7
263,0,-1,-1,-3,-28,-1,-1,14
264,0,-1,-1,-3,-32,-1,1,19
265,0,0,0,-1,-14,-11,4,8
266,0,0,0,-1,-10,-12,4,6
267,0,0,0,0,-5,-14,5,3
268,0,0,0,0,-1,-16,6,1
269,0,0,0,0,0,-16,6,0
270,0,0,0,0,1,0,2,-4
271,0,0,0,0,2,1,1,-4
272,0,0,0,0,3,1,1,-4
273,0,0,0,0,4,2,0,-4
274,0,0,0,0,5,3,0,-4
275,-1,0,-1,0,5,1,0,-4
276,-1,0,-1,0,4,0,0,-4
277,-1,0,-1,0,3,-1,0,-3
278,-1,0,-1,0,3,-3,1,-3
279,-1,0,-1,0,2,-4,1,-3
280,0,-1,-2,-4,-25,11,1,-2
281,0,-1,-2,-4,-23,12,1,0
282,0,-1,-1,-3,-17,13,3,1
283,0,-2,-1,-2,-8,13,4,5
284,0,-2,0,-1,-2,13,5,7
285,0,-2,0,1,13,7,7,10
286,0,-1,0,1,11,5,6,9
287,0,0,0,1,10,1,5,7
288,0,0,0,1,9,-2,3,6
289,0,0,0,1,8,-5,3,5
290,0,0,0,1,14,-12,0,2
291,0,0,0,0,14,-11,0,2
292,0,0,0,0,14,-8,1,2
293,0,-1,0,0,14,-6,1,2
294,0,-1,0,0,13,-5,1,2
295,-1,0,0,-1,7,0,2,5
296,-1,0,0,-1,8,0,1,5
297,-1,0,0,0,9,-1,0,6
298,-1,0,-1,0,11,-2,-1,7
299,-1,0,-1,0,12,-2,-2,7
300,-1,0,-1,0,8,-3,-4,4
301,0,0,-1,0,6,-3,-4,2
302,0,0,-1,0,2,-3,-4,0
303,0,0,-1,0,0,-3,-5,0
304,0,0,-1,0,-2,-3,-5,-1
305,0,-1,0,-1,-2,-7,-11,0
306,0,-1,0,-1,-2,-7,-10,0
307,0,-1,0,-1,-1,-7,-9,0
308,0,-1,0,-1,0,-6,-8,0
309,0,-1,0,-1,0,-6,-7,0
310,-1,-1,0,0,4,-7,3,0
311,-1,-1,0,0,4,-9,3,0
312,-1,-1,0,0,4,-12,4,0
313,-1,-1,0,0,5,-14,4,0
314,-1,-1,0,0,5,-16,5,0
315,-1,0,0,1,3,-13,2,-4
316,-1,0,0,1,3,-10,2,-3
317,0,0,0,1,5,-6,1,-2
318,0,0,0,1,7,-1,1,-1
319,0,0,0,1,9,1,0,0
320,0,0,0,0,11,11,-1,2
321,0,0,0,0,16,15,-2,2
322,0,0,0,1,24,20,-3,2
323,1,0,0,2,33,26,-5,1
324,1,1,0,2,39,29,-6,1
325,0,0,0,-1,-6,-7,2,0
326,0,0,0,-1,-6,-10,2,-1
327,0,0,0,-1,-6,-14,2,-1
328,0,0,0,0,-7,-17,1,-1
329,0,0,0,0,-7,-19,1,-1
330,0,-2,-1,-1,-14,-17,3,0
331,0,-2,-1,-1,-13,-17,3,0
332,0,-2,0,-1,-12,-15,2,1
333,-1,-2,0,0,-10,-14,1,2
334,-1,-2,0,0,-9,-13,1,3
335,0,-1,0,0,17,-6,-9,-9
336,0,-1,0,0,14,-7,-10,-10
337,0,-1,0,0,10,-9,-10,-11
338,0,-1,0,0,7,-8,-9,-11
339,0,-1,0,0,4,-8,-8,-10
340,0,-1,-2,-1,-6,9,5,3
341,0,-1,-2,-1,-6,10,5,2
342,0,-1,-2,-1,-6,12,3,1
343,0,-1,-2,-1,-6,15,2,0
344,0,-1,-2,-1,-6,17,1,-1
345,0,-1,-1,-1,-9,5,-5,-7
346,0,-1,-1,-1,-9,6,-4,-6
347,0,-1,-1,-1,-9,7,-3,-5
348,0,-1,-1,-1,-9,8,-3,-5
349,0,-1,-1,-1,-9,9,-2,-4
350,-1,0,0,-1,-4,3,-1,-13
351,-1,0,0,-1,-4,6,0,-11
352,-2,-1,0,-1,-2,12,0,-6
353,-2,-1,-1,-1,-1,18,0,-2
354,-3,-2,-1,-1,0,23,1,0
355,-1,-2,-1,-1,2,15,1,2
356,-1,-2,-1,-1,1,11,1,2
357,-1,-1,-1,-2,0,5,1,3
358,-1,-1,-1,-2,-1,0,2,3
359,0,-1,-1,-2,-1,-1,2,4
360,-2,0,-1,-1,-20,-40,-21,-3
361,-2,0,-1,-1,-19,-38,-20,-4
362,-2,0,-1,-1,-17,-35,-18,-6
363,-2,0,-1,-1,-14,-31,-15,-8
364,-2,0,-1,-1,-12,-29,-14,-9
365,-1,0,-1,-1,0,-7,-1,-18
366,-1,0,-1,-1,-1,-7,-2,-17
367,-1,0,-1,-1,-2,-8,-3,-14
368,-1,0,-1,-1,-4,-8,-3,-10
369,0,-1,-1,-1,-5,-9,-3,-8
370,0,-1,-1,-1,0,-1,3,4
371,0,0,-1,-1,0,0,4,4
372,0,0,-1,-1,0,3,5,3
373,0,0,-1,-1,0,6,6,3
374,0,0,-1,-1,0,7,6,3
375,0,-1,-1,0,-19,-10,0,6
376,0,-1,-1,0,-19,-8,0,5
377,0,-1,-1,0,-18,-5,-1,4
378,-1,-1,-1,-1,-18,-2,-2,3
379,-1,-1,-1,-1,-19,0,-3,2
380,-1,-1,-1,-3,-21,3,-7,-6
381,-1,-1,-1,-3,-15,2,-6,-8
382,-1,0,-1,-2,-5,1,-5,-10
383,-1,0,-1,-2,3,1,-4,-12
384,-1,0,-1,-2,8,0,-3,-13
385,-1,-1,0,0,5,5,-3,-1
386,0,0,0,0,4,6,-2,-1
387,0,0,0,0,4,8,0,0
388,0,0,0,0,3,9,1,0
389,0,0,0,0,3,9,2,0
390,0,0,0,1,21,5,6,2
391,0,0,0,1,28,6,6,1
392,0,0,0,2,40,7,7,0
393,0,-1,0,3,51,9,7,-2
394,0,-1,0,4,58,10,7,-4
395,0,-1,0,0,2,-5,-4,6
396,0,-1,0,0,3,-6,-3,4
397,0,-1,0,0,4,-8,-3,1
398,0,-1,0,0,6,-10,-2,0
399,0,-1,0,0,6,-11,-2,-1
400,0,0,-1,0,-2,2,13,12
401,0,-1,-1,0,-4,1,11,11
402,0,-2,-1,0,-7,0,9,9
403,0,-2,-1,0,-9,0,6,7
404,0,-3,-1,0,-10,-1,5,5
405,-2,-1,-1,-1,0,1,0,5
406,-2,-1,-1,-1,2,0,0,4
407,-2,-1,-1,-1,3,0,-2,2
408,-2,0,-1,-1,5,0,-3,0
409,-2,0,-1,-1,5,-1,-4,-1
410,-2,-1,-1,-1,-1,1,3,-10
411,-2,-1,-1,-1,-1,1,2,-13
412,-3,-1,-1,-1,-3,1,1,-17
413,-3,-1,-1,-1,-4,1,0,-21
414,-4,-1,-1,-1,-5,1,-1,-24
415,-1,0,0,0,-4,6,-1,-9
416,0,0,0,0,-4,6,0,-7
417,0,0,0,0,-3,5,0,-4
418,0,0,0,0,-1,4,0,-2
419,0,0,0,0,0,3,1,-1
420,0,0,-2,0,-4,-33,-1,13
421,0,0,-2,0,-4,-29,-1,12
422,0,-1,-2,0,-3,-22,-2,11
423,-1,-2,-2,0,-2,-15,-2,10
424,-2,-2,-2,0,-2,-10,-3,9
425,-3,-3,-1,-1,-2,5,-4,6
426,-3,-3,-1,-1,-3,6,-4,6
427,-2,-2,-1,-1,-3,6,-4,5
428,-2,-2,-1,-1,-4,7,-3,5
429,-2,-1,-1,-1,-4,8,-2,4
430,-2,0,0,-1,-8,3,1,3
431,-2,0,0,-1,-10,2,1,3
432,-1,0,0,-1,-13,1,1,3
433,-1,0,0,-1,-16,1,1,2
434,-1,0,0,-1,-18,1,1,1
435,0,0,0,-2,-26,7,6,-6
436,0,0,0,-2,-23,10,5,-4
437,0,0,0,-1,-17,15,4,-2
438,0,-1,0,-1,-11,21,3,0
439,0,-1,0,0,-8,25,2,1
440,0,-1,0,1,9,16,-6,-1
441,0,0,0,1,9,14,-7,-2
442,0,0,0,1,10,10,-8,-4
443,0,0,0,0,10,6,-9,-5
444,0,0,-1,0,10,4,-10,-6
445,0,0,-2,-1,4,-2,-11,-10
446,0,0,-2,-1,3,-2,-10,-9
447,0,0,-2,-1,2,-3,-8,-8
448,0,0,-2,-1,1,-4,-6,-7
449,0,0,-1,-1,0,-4,-4,-6
450,0,0,0,0,1,-3,3,-2
451,0,0,0,-1,0,-3,2,-2
452,0,0,0,-1,-2,-5,0,-2
453,0,0,0,-1,-6,-8,-1,-3
454,0,0,0,-1,-9,-9,-3,-3
455,-1,-1,0,-4,-41,-22,-11,0
456,-1,-1,0,-4,-34,-20,-9,0
457,0,-1,0,-3,-23,-16,-7,2
458,0,-1,0,-2,-12,-13,-5,5
459,0,-1,0,-2,-4,-10,-3,7
460,1,0,0,0,2,-2,2,0
461,1,0,0,0,1,0,2,-2
462,1,0,0,0,-1,1,2,-5
463,1,0,0,0,-3,4,2,-7
464,1,0,0,0,-4,5,3,-9
465,-1,-1,0,0,4,-14,-6,-4
466,-1,-1,0,0,4,-12,-6,-4
467,-1,-1,0,0,3,-8,-5,-4
468,0,-1,0,0,3,-5,-4,-4
469,0,-1,0,0,2,-2,-4,-4
470,0,-1,-2,0,-2,6,-2,-2
471,0,-1,-2,0,-1,7,-3,-2
472,0,-1,-2,0,0,7,-3,-1
473,-1,-1,-2,0,1,7,-3,-1
474,-1,-1,-2,0,2,7,-3,0
475,-2,-1,-1,-1,4,1,-17,-23
476,-2,-1,-1,-1,3,0,-14,-20
477,-2,-1,-1,-1,0,0,-10,-16
478,-2,-1,-1,-1,-1,-2,-5,-11
479,-2,-1,-1,-1,-3,-3,-2,-8
480,-2,-1,-1,-1,-2,-3,7,5
481,-2,-1,-1,-1,0,-2,7,6
482,-2,-1,-1,0,3,0,6,6
483,-1,-1,-1,0,7,1,5,6
484,-1,-1,-1,0,9,3,5,6
485,1,1,0,-1,-6,-3,-3,-3
486,1,1,0,-1,-4,-3,-3,-3
487,1,1,0,0,0,-3,-1,-2
488,0,1,0,0,2,-4,0,-1
489,0,1,0,0,5,-4,0,-1
490,0,0,0,0,9,0,3,-3
491,0,0,0,0,8,1,3,-4
492,-1,0,0,0,6,4,4,-5
493,-1,0,0,0,4,6,5,-6
494,-1,0,0,0,3,7,5,-6
495,0,-1,-1,0,3,-3,5,1
496,0,-1,-1,0,4,-2,5,1
497,0,-1,-1,0,5,-1,4,1
498,0,-1,-1,0,7,0,4,0
499,0,-1,-1,0,8,3,4,0
500,0,-1,0,0,14,19,1,-4
501,0,-1,0,0,12,16,0,-5
502,-1,-1,0,0,10,12,-3,-5
503,-1,-1,0,0,8,8,-5,-6
504,-1,-1,0,0,7,6,-7,-6
505,0,-2,-1,0,1,3,-1,1
506,0,-1,-1,0,1,2,0,2
507,0,-1,-1,0,0,1,0,2
508,0,-1,-1,0,-1,0,1,3
509,0,-1,-1,0,-1,-1,1,3
510,0,1,0,-1,-6,-12,-4,3
511,-1,0,0,-1,-5,-12,-6,2
512,-2,0,-1,-1,-4,-12,-9,1
513,-2,0,-1,-1,-4,-12,-12,0
514,-3,0,-1,-1,-3,-12,-14,0
515,0,-1,0,0,-5,-9,3,7
516,0,-1,0,0,-6,-8,3,5
517,0,-1,0,0,-6,-8,3,3
518,0,-1,0,0,-5,-7,3,2
519,1,-1,0,0,-4,-7,3,1
520,2,0,0,0,8,-14,-1,3
521,1,0,0,0,7,-14,-1,3
522,1,0,0,0,4,-14,0,2
523,0,0,0,0,1,-14,0,1
524,0,0,0,0,0,-14,0,1
525,0,-1,-1,-1,-7,0,4,5
526,0,-1,-1,-1,-5,1,3,5
527,0,-1,-1,-1,-1,1,2,5
528,0,-1,-1,-1,3,0,1,5
529,0,-1,-1,-1,6,0,0,4
530,-2,-2,-1,0,30,-9,-3,-9
531,-2,-2,-1,0,26,-11,-4,-10
532,-2,-2,-1,0,19,-13,-4,-11
533,-2,-2,-1,-1,12,-15,-5,-12
534,-2,-2,-1,-1,8,-16,-6,-13
535,-2,-1,-1,0,0,11,-3,-3
536,-2,-1,-1,0,-1,11,-2,-2
537,-2,-2,-1,-1,-5,11,0,-1
538,-2,-2,-1,-1,-8,11,1,0
539,-2,-2,-1,-1,-10,11,3,0
540,-1,0,-1,0,-9,-3,-14,-22
541,-1,0,-1,0,-9,-2,-13,-21
542,-1,0,-1,0,-8,-1,-12,-19
543,-1,0,-1,0,-7,0,-11,-16
544,-1,0,-1,0,-6,1,-10,-14
